CNAE_code,CNAE_label
0,14.12-6-01
1,16.22-6-99
2,17.42-7-99
3,22.29-3-01
4,26.10-8-00
5,26.21-3-00
6,26.32-9-00
7,27.10-4-02
8,27.31-7-00
9,27.90-2-02
10,28.24-1-01
11,29.10-7-01
12,31.01-2-00
13,31.02-1-00
14,33.12-1-02
15,33.21-0-00
16,41.20-4-00
17,42.21-9-03
18,42.21-9-05
19,42.99-5-99
20,43.21-5-00
21,43.22-3-02
22,43.22-3-03
23,43.29-1-03
24,43.29-1-99
25,43.30-4-05
26,43.30-4-99
27,45.11-1-01
28,45.30-7-01
29,46.18-4-99
30,46.33-8-01
31,46.35-4-01
32,46.39-7-01
33,46.42-7-02
34,46.47-8-02
35,46.49-4-01
36,46.49-4-04
37,46.49-4-08
38,46.49-4-99
39,46.51-6-01
40,46.52-4-00
41,46.61-3-00
42,46.63-0-00
43,46.65-6-00
44,46.69-9-99
45,46.86-9-02
46,46.87-7-01
47,47.12-1-00
48,47.29-6-99
49,47.44-0-01
50,47.44-0-02
51,47.44-0-99
52,47.51-2-01
53,47.52-1-00
54,47.53-9-00
55,47.54-7-01
56,47.59-8-99
57,47.89-0-05
58,47.89-0-09
59,47.89-0-99
60,49.21-3-01
61,52.40-1-01
62,56.11-2-01
63,56.20-1-01
64,59.11-1-99
65,61.10-8-01
66,61.10-8-03
67,61.20-5-01
68,61.20-5-02
69,61.90-6-99
70,62.01-5-01
71,62.02-3-00
72,62.03-1-00
73,62.04-0-00
74,62.09-1-00
75,63.11-9-00
76,63.19-4-00
77,63.99-2-00
78,66.13-4-00
79,66.21-5-02
80,70.20-4-00
81,71.11-1-00
82,71.12-0-00
83,73.11-4-00
84,73.20-3-00
85,74.20-0-04
86,74.90-1-04
87,74.90-1-99
88,77.33-1-00
89,77.39-0-03
90,77.39-0-99
91,78.10-8-00
92,78.20-5-00
93,78.30-2-00
94,79.11-2-00
95,80.11-1-01
96,81.21-4-00
97,81.29-0-00
98,81.30-3-00
99,82.11-3-00
100,82.20-2-00
101,82.30-0-01
102,82.99-7-99
103,85.31-7-00
104,85.32-5-00
105,85.50-3-02
106,85.93-7-00
107,85.99-6-04
108,86.30-5-06
109,86.50-0-01
110,86.60-7-00
111,88.00-6-00
112,90.01-9-02
113,93.19-1-01
114,94.30-8-00
115,94.99-5-00
116,96.01-7-01
