CNAE_code,CNAE_label
0,14.12-6-01
1,16.22-6-99
2,16.29-3-01
3,17.42-7-99
4,22.29-3-01
5,26.10-8-00
6,26.21-3-00
7,26.32-9-00
8,27.10-4-02
9,27.31-7-00
10,28.24-1-01
11,29.10-7-01
12,31.01-2-00
13,31.02-1-00
14,33.12-1-02
15,33.21-0-00
16,41.20-4-00
17,42.13-8-00
18,42.21-9-03
19,42.21-9-05
20,42.99-5-99
21,43.21-5-00
22,43.22-3-02
23,43.22-3-03
24,43.29-1-03
25,43.29-1-99
26,43.30-4-05
27,43.30-4-99
28,45.11-1-01
29,46.18-4-99
30,46.33-8-01
31,46.35-4-01
32,46.39-7-01
33,46.47-8-02
34,46.49-4-01
35,46.49-4-04
36,46.49-4-08
37,46.49-4-99
38,46.51-6-01
39,46.52-4-00
40,46.61-3-00
41,46.63-0-00
42,46.65-6-00
43,46.69-9-99
44,46.81-8-01
45,46.86-9-02
46,46.87-7-01
47,47.12-1-00
48,47.29-6-99
49,47.44-0-01
50,47.44-0-99
51,47.51-2-01
52,47.52-1-00
53,47.53-9-00
54,47.54-7-01
55,47.89-0-05
56,47.89-0-09
57,47.89-0-99
58,49.21-3-01
59,52.40-1-01
60,56.11-2-01
61,56.20-1-01
62,59.11-1-99
63,61.10-8-01
64,61.10-8-03
65,61.20-5-01
66,61.20-5-02
67,61.90-6-99
68,62.01-5-01
69,62.02-3-00
70,62.03-1-00
71,62.04-0-00
72,62.09-1-00
73,63.11-9-00
74,63.19-4-00
75,63.99-2-00
76,66.13-4-00
77,66.21-5-02
78,70.20-4-00
79,71.11-1-00
80,71.12-0-00
81,73.11-4-00
82,73.20-3-00
83,74.20-0-04
84,74.90-1-04
85,74.90-1-99
86,77.33-1-00
87,77.39-0-03
88,77.39-0-99
89,78.10-8-00
90,78.20-5-00
91,78.30-2-00
92,79.11-2-00
93,80.11-1-01
94,81.21-4-00
95,81.29-0-00
96,81.30-3-00
97,82.11-3-00
98,82.20-2-00
99,82.30-0-01
100,82.99-7-99
101,85.31-7-00
102,85.32-5-00
103,85.50-3-02
104,85.93-7-00
105,85.99-6-04
106,86.30-5-06
107,86.50-0-01
108,86.60-7-00
109,88.00-6-00
110,90.01-9-02
111,93.19-1-01
112,94.30-8-00
113,94.99-5-00
114,96.01-7-01
